route_id,route_start_date,route_end_date,route_type_1
153,20241012,29990101,Normalna
154,20250317,29990101,Normalna
155,20240811,29990101,Normalna
156,20241007,29990101,Normalna
157,20250118,29990101,Normalna
158,20240909,20991231,Normalna
160,20241210,29990101,Normalna
164,20240819,20991231,Normalna
165,20241105,29990101,Normalna
166,20240907,29990101,Normalna
169,20250322,29990101,Normalna
177,20241112,29991231,Normalna
179,20250312,29990101,Normalna
180,20241115,29990101,Normalna
183,20250201,29990101,Normalna
185,20240721,29990101,Normalna
186,20250310,29990101,Normalna
187,20241104,29990101,Normalna
188,20250113,29990101,Normalna
190,20250102,20250331,Normalna
191,20240909,20991231,Normalna
193,20241112,29991231,Normalna
194,20241125,29990101,Normalna
196,20241007,20991231,Normalna
197,20250108,29990101,Normalna
198,20240219,29990101,Normalna
200,20250113,29990101,Normalna
201,20250225,29990101,Normalna
202,20240511,29990101,Normalna
207,20250219,29990101,Normalna
208,20250219,29990101,Normalna
219,20250208,29990101,Normalna
220,20250307,29990101,Normalna
222,20241104,20991231,Normalna
223,20240817,20991231,Normalna
225,20250312,29990101,Normalna
227,20241223,29990101,Normalna
230,20241101,29990101,Normalna
231,20241116,29990101,Normalna
234,20240219,29990101,Normalna
237,20250307,29990101,Normalna
242,20250113,29990101,Normalna
243,20250113,29990101,Normalna
245,20241207,29990101,Normalna
254,20241204,29990101,Normalna
255,20240701,29990101,Normalna
259,20241223,20991231,Normalna
260,20250113,29990101,Normalna
262,20240902,29990101,Normalna
264,20240819,20991231,Normalna
268,20241207,29990101,Normalna
269,20250312,29990101,Normalna
271,20241204,29990101,Normalna
272,20241204,29990101,Normalna
273,20240927,29990101,Normalna
274,20250118,29990101,Normalna
286,20240219,29990101,Normalna
287,20241104,29990101,Normalna
292,20250301,20250331,Normalna
294,20250118,29990101,Normalna
296,20241112,29991231,Normalna
297,20241112,29991231,Normalna
299,20250315,20991231,Normalna
505,20240826,29990101,Normalna
514,20240927,29990101,Normalna
531,20241001,29990101,Normalna
536,20240902,29990101,Normalna
565,20250118,29990101,Normalna
568,20241207,29990101,Normalna
594,20250118,29990101,Normalna
600,20250107,29991231,Normalna
604,20250214,29990101,Normalna
606,20241103,20991231,Normalna
608,20250224,29990101,Normalna
609,20250217,29990101,Normalna
610,20250301,29990101,Normalna
612,20250307,29990101,Normalna
614,20240909,20991231,Normalna
615,20240909,20991231,Normalna
616,20250113,29990101,Normalna
617,20250222,29990101,Normalna
622,20241210,29990101,Normalna
623,20241028,20991231,Normalna
625,20250317,29990101,Normalna
632,20241112,29991231,Normalna
636,20250301,29990101,Normalna
637,20250307,29990101,Normalna
638,20250317,29990101,Normalna
639,20240219,29990101,Normalna
640,20250307,29990101,Normalna
641,20250113,29990101,Normalna
644,20250214,29990101,Normalna
654,20250307,29990101,Normalna
655,20250118,29990101,Normalna
656,20241218,29990101,Normalna
657,20241112,29991231,Normalna
662,20241007,29990101,Normalna
663,20241007,20991231,Normalna
664,20241123,29990101,Normalna
669,20241221,29990101,Normalna
670,20250221,29990101,Normalna
671,20250221,29990101,Normalna
672,20250107,29991231,Normalna
673,20250107,29991231,Normalna
674,20250107,29991231,Normalna
676,20241007,29990101,Normalna
678,20241007,29990101,Normalna
686,20240909,29990101,Normalna
687,20241007,29990101,Normalna
688,20241204,29990101,Normalna
689,20241103,20991231,Normalna
690,20250101,29990101,Normalna
692,20241118,29990101,Normalna
693,20241104,29990101,Normalna
694,20241125,29990101,Normalna
695,20250220,29990101,Normalna
696,20240927,29990101,Normalna
699,20241230,29990101,Normalna
700,20240819,20991231,Normalna
704,20240601,29990101,Normalna
706,20240601,29990101,Normalna
707,20250219,29990101,Normalna
708,20250224,29990101,Normalna
709,20240601,29990101,Normalna
716,20240605,29990101,Normalna
720,20250201,29990101,Normalna
721,20250113,29990101,Normalna
722,20250113,29990101,Normalna
723,20250315,20991231,Normalna
743,20250219,29990101,Normalna
780,20250111,29990101,Normalna
788,20241204,29990101,Normalna
807,20250315,29990101,Normalna
808,20250315,29990101,Normalna
814,20250315,29990101,Normalna
835,20250315,29990101,Normalna
840,20241014,29990101,Normalna
900,20250107,29991231,Normalna
910,20250107,29991231,Normalna
911,20241112,29991231,Normalna
913,20250207,29990101,Normalna
920,20250107,29991231,Normalna
922,20241231,29990101,Normalna
924,20240601,29990101,Normalna
930,20250225,29990101,Normalna
931,20250305,29990101,Normalna
937,20240614,29990101,Normalna
959,20241118,20991231,Normalna
972,20250323,29990101,Normalna
973,20240219,29990101,Normalna
982,20241221,29990101,Normalna
989,20240325,29990101,Normalna
995,20250310,29990101,Normalna
998,20241126,29990101,Normalna
999,20241204,20991231,Normalna
1000,20241007,29990101,Normalna
1001,20240726,29990101,Normalna
1002,20250118,20250329,Linia metropolitalna
1003,20240909,20991231,Normalna
1006,20241204,20991231,Normalna
1008,20241204,20991231,Normalna
1009,20241204,20991231,Normalna
1011,20250102,29990101,Linia metropolitalna
1012,20250107,29991231,Linia metropolitalna
1013,20241120,29990101,Linia metropolitalna
1014,20250102,20250329,Linia metropolitalna
1015,20250224,29990101,Linia metropolitalna
1016,20241118,29990101,Linia metropolitalna
1017,20250304,29990101,Linia metropolitalna
1018,20241120,20250329,Linia metropolitalna
1019,20241007,29990101,Linia metropolitalna
1020,20250305,20991231,Linia metropolitalna
1021,20250118,29990101,Linia metropolitalna
1022,20240407,20250329,Linia metropolitalna
1023,20241120,29990101,Linia metropolitalna
1024,20250301,20250329,Linia metropolitalna
1025,20241231,29990101,Linia metropolitalna
1026,20250107,29991231,Linia metropolitalna
1027,20250222,29990101,Linia metropolitalna
1029,20250301,20250329,Linia metropolitalna
1030,20250315,20991231,Linia metropolitalna
1031,20250118,29990101,Linia metropolitalna
1032,20250113,29990101,Linia metropolitalna
1033,20250315,29990101,Linia metropolitalna
1034,20241221,29990101,Linia metropolitalna
1035,20250310,29990101,Linia metropolitalna
1036,20250315,29990101,Linia metropolitalna
1037,20241120,29990101,Linia metropolitalna
1038,20241108,29990101,Linia metropolitalna
1039,20241007,20991231,Linia metropolitalna
1040,20250102,29991231,Linia metropolitalna
1041,20250315,29990101,Linia metropolitalna
1048,20240730,29990101,Normalna
1049,20250223,20991231,Normalna
1050,20250107,20991231,Normalna
1051,20250315,29990101,Normalna
1052,20250301,20250329,Autobusowa komunikacja zastępcza
1053,20250318,29990101,Normalna
1054,20250107,20250328,Normalna
1055,20250101,20991231,Normalna
1056,20250208,29990101,Normalna
1057,20250308,20250328,Normalna
1058,20250101,20250328,Normalna
1059,20250318,20250328,Normalna
1060,20250315,29990101,Normalna
1061,20250316,20991231,Normalna
1062,20250315,29990101,Normalna
1063,20250107,20991231,Normalna
1064,20250315,20250328,Normalna
1065,20250315,29990101,Normalna
1067,20231230,29990101,Normalna
1069,20250315,29990101,Normalna
1070,20241104,29990101,Normalna
1071,20250223,20991231,Normalna
1072,20250201,29990101,Normalna
1073,20250315,29990101,Normalna
1075,20250201,29990101,Normalna
1076,20250201,20250328,Normalna
1077,20241004,29990101,Normalna
1078,20250101,20991231,Normalna
1079,20250207,29990101,Autobusowa komunikacja zastępcza
1081,20250315,20250329,Autobusowa komunikacja zastępcza
1082,20250107,29991231,Normalna
1083,20241105,29990101,Normalna
1084,20241221,29990101,Normalna
1085,20241112,29991231,Autobusowa komunikacja zastępcza
1086,20250207,29990101,Autobusowa komunikacja zastępcza
1087,20250118,29990101,Autobusowa komunikacja zastępcza
1088,20250225,29990101,Normalna
1089,20250102,29991231,Nocna
1090,20250102,29991231,Nocna
1091,20240422,20250328,Nocna
1092,20250310,29990101,Nocna
1093,20240331,20250328,Nocna
1094,20250101,20250328,Nocna
1095,20241213,29990101,Normalna
1096,20250101,20250328,Normalna
1097,20250222,29990101,Nocna
1098,20241028,20250328,Normalna
1099,20250101,20250328,Nocna
1100,20250101,20250328,Nocna
1101,20250301,29990101,Nocna
1102,20241007,29990101,Nocna
1103,20250113,20250328,Nocna
1104,20240824,20250328,Nocna
1105,20250113,20250328,Nocna
1106,20241104,29990101,Nocna
1107,20240823,20250328,Nocna
