route_long_name,route_short_name,agency_id,route_desc,route_type,route_id,route_url,route_color,route_text_color
BĘDZIN KOŚCIUSZKI - BĘDZIN KOŚCIUSZKI,124,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Łagisza Poczta - Sarnów Główna - Psary Urząd Gminy - Psary Remiza - Psary Kościół - Grodziec Kościół - Będzin Targowisko - Nowak-Mosty Będzin Arena - Będzin Kościuszki,3,124,https://rj.metropoliaztm.pl/rozklady/3-124,000000,
BĘDZIN KOŚCIUSZKI - BĘDZIN KOŚCIUSZKI,125,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Będzin Targowisko - Grodziec Kościół - Psary Kościół - Psary Remiza - Psary Urząd Gminy - Sarnów Główna - Łagisza Poczta - Będzin Targowisko - Nowak-Mosty Będzin Arena - Będzin Kościuszki,3,125,https://rj.metropoliaztm.pl/rozklady/3-125,000000,
BĘDZIN KOŚCIUSZKI - BĘDZIN KOŚCIUSZKI,67,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Będzin Targowisko - Grodziec Kościół - Grodziec Poczta - Wojkowice Łęg - Wojkowice Brzeziny - Góra Siewierska Pętla - Twardowice Remiza - Dąbie Szkoła - Wojkowice Brzeziny - Wojkowice Łęg - Grodziec Poczta - Grodziec Kościół - Będzin Targowisko - Nowak-Mosty Będzin Arena - Będzin Kościuszki,3,67,https://rj.metropoliaztm.pl/rozklady/3-67,FF0000,FF8080
BĘDZIN KOŚCIUSZKI - BĘDZIN KOŚCIUSZKI,721,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Os. Zamkowe Piastowska - Grodziec Kościół - Grodziec Poczta - Wojkowice Łęg - Wojkowice Park - Rogoźnik Narutowicza - Dobieszowice Skrzyżowanie - Żychcice Pętla - Wojkowice Park - Wojkowice Głowackiego 126 - Wojkowice Łęg - Grodziec Poczta - Grodziec Kościół - Będzin Targowisko - Nowak-Mosty Będzin Arena - Będzin Kościuszki,3,721,https://rj.metropoliaztm.pl/rozklady/3-721,000000,
BĘDZIN KOŚCIUSZKI - BĘDZIN KOŚCIUSZKI,722,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Będzin Targowisko - Grodziec Kościół - Grodziec Poczta - Wojkowice Łęg - Wojkowice Głowackiego 126 - Wojkowice Park - Żychcice Pętla - Dobieszowice Skrzyżowanie - Rogoźnik Narutowicza - Wojkowice Park - Wojkowice Łęg - Grodziec Poczta - Grodziec Kościół - Os. Zamkowe Piastowska - Os. Syberka Kościół - Nowak-Mosty Będzin Arena - Będzin Kościuszki,3,722,https://rj.metropoliaztm.pl/rozklady/3-722,000000,
BĘDZIN KOŚCIUSZKI - BĘDZIN KOŚCIUSZKI,97,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Łagisza Poczta - Sarnów Główna - Psary Urząd Gminy - Malinowice Bory - Dąbie Dolna 1 - Twardowice Remiza - Góra Siewierska Pętla - Dąbie Szkoła - Dąbie Dolna 1 - Malinowice Bory - Psary Urząd Gminy - Sarnów Główna - Łagisza Poczta - Będzin Targowisko - Nowak-Mosty Będzin Arena - Będzin Kościuszki,3,97,https://rj.metropoliaztm.pl/rozklady/3-97,FF0000,FF8080
BĘDZIN KOŚCIUSZKI - DĄBROWA GÓRNICZA DWORZEC PKP,16,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Dąbrowa Górnicza Fabryka Pełna Życia - Dąbrowa Górnicza Dworzec PKP,3,16,https://rj.metropoliaztm.pl/rozklady/3-16,0000FF,FF8080
BĘDZIN KOŚCIUSZKI - DĄBROWA GÓRNICZA DWORZEC PKP,79,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Łagisza Poczta - Sarnów Główna - Dąbrowa Górnicza Fabryka Pełna Życia - Dąbrowa Górnicza Dworzec PKP,3,79,https://rj.metropoliaztm.pl/rozklady/3-79,FF0000,FF8080
BĘDZIN KOŚCIUSZKI - GOŁONÓG ZAJEZDNIA,904N,1,Będzin Kościuszki - Będzin Aleja Kołłątaja - Dąbrowa Górnicza Centrum - Gołonóg Zajezdnia,3,1105,https://rj.metropoliaztm.pl/rozklady/3-904N,808040,FF8080
BĘDZIN KOŚCIUSZKI - KATOWICE DWORZEC,61,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Os. Syberka Kościół - Piaski Centrum Handlowe - Piaski Wiejska - Czeladź Osiedle Słoneczne - Milowice Most - Dąbrówka Mała Ośrodek Zdrowia - Bogucice Kościół - Katowice Chorzowska - Katowice Sokolska - Katowice Sądowa - Katowice Dworzec,3,61,https://rj.metropoliaztm.pl/rozklady/3-61,000000,00FFFF
