stop_name,stop_code,stop_id,stop_lat,stop_lon,stop_url
Sławków Krakowska,2401081-01501,4759,50.291428,19.382431,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01501/
Sławków Krakowska,2401081-01502,4760,50.29136,19.382612,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01502/
Sławków Krakowska II,2401081-03401,8177,50.293015,19.384207,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-03401/
Sławków Krakowska II,2401081-03402,8176,50.293106,19.384373,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-03402/
Sławków Olkuska,2401081-01601,3540,50.299763,19.40053,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01601/
Sławków Olkuska,2401081-01602,3541,50.299828,19.400986,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01602/
Sławków Owocowa,2401081-01801,1186,50.293274,19.366037,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01801/
Sławków Owocowa,2401081-01802,1187,50.293274,19.366467,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01802/
Sławków Poczta,2401081-01901,5052,50.29632,19.381262,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01901/
Sławków Poczta,2401081-01902,8175,50.296093,19.38215,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01902/
Sławków Poczta,2401081-01903,8193,50.296013,19.382118,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-01903/
Sławków Rynek,2401081-02001,3542,50.298042,19.389055,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02001/
Sławków Rynek,2401081-02002,3543,50.29876,19.388725,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02002/
Sławków Stawki,2401081-03101,9616,50.28637,19.364008,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-03101/
Sławków Stawki,2401081-03102,9617,50.28637,19.364244,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-03102/
Sławków Szkoła,2401081-02201,3621,50.297432,19.379576,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02201/
Sławków Szkoła,2401081-02202,3622,50.297173,19.379519,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02202/
Sławków Urząd Miasta (Siewierska),2401081-02302,5202,50.301186,19.38435,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02302/
Sławków Urząd Miasta (Wrocławska),2401081-02301,1197,50.302105,19.381872,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02301/
Sławków Wrocławska,2401081-02701,2674,50.30268,19.374224,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02701/
Sławków Wrocławska,2401081-02702,2675,50.302418,19.375563,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02702/
Sławków Wrzosowa,2401081-02501,6088,50.286457,19.378584,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02501/
Sławków Wrzosowa,2401081-02502,6089,50.286385,19.37872,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02502/
Sławków ZWM,2401081-02601,3497,50.302517,19.401302,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02601/
Sławków ZWM,2401081-02602,7416,50.302044,19.40141,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02602/
Sławków ZWM Pętla [tech],2401081-03501,7417,50.30737,19.398687,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-03501/
Sławków Świętojańska,2401081-02401,5201,50.300148,19.38308,https://rj.metropoliaztm.pl/rozklady/przystanek/2401081-02401/
Słupna Ośrodek Wypoczynkowy,2470011-01901,4844,50.22889,19.142094,https://rj.metropoliaztm.pl/rozklady/przystanek/2470011-01901/
Słupna Ośrodek Wypoczynkowy,2470011-01902,4845,50.2287,19.141861,https://rj.metropoliaztm.pl/rozklady/przystanek/2470011-01902/
Targoszyce Kościelna,2401052-03701,4035,50.438217,19.129118,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03701/
