stop_id,stop_code_add,community_ids,stop_vehicle_type_ids,stop_attribute_ids,stop_long_name,city,street,voice_message_code
7346,"3",17,3,2,"","Katowice","Trzech Stawów",0
4085,"1t",12,2,5,"","Dąbrowa Górnicza","Sobieskiego",0
964,"1",,,6,"","<Żadna>","",0
2782,"1",49,3,2_3,"","Zabrze","Wolności",0
5722,"2",51,3,1,"","Zbrosławice","Dworcowa",0
1365,"1",38,3,2_3_4,"","Ruda Śląska","Oświęcimska",0
3710,"2",51,3,1,"Kamieniec Gospodarstwo Rolne nż","Zbrosławice","Wiejska",0
5745,"1",59,3,2,"","Krupski Młyn","Tarnogórska",0
2253,"1",,,6,"","<Żadna>","",0
417,"2",38,3,2_3,"","Ruda Śląska","Dworcowa",0
2957,"2",5,3,2_3,"","Bytom","Zabrzańska",0
6017,"1",17,3,2_3,"","Katowice","Francuska",0
8372,"1t",38,2,2,"","Ruda Śląska","Dworcowa",0
1898,"1",52,3,1,"","Świerklaniec","Lasowicka",0
796,"1",21,3,2,"","Lędziny","Goławiecka",0
2884,"1",60,3,2_3,"","Tarnowskie Góry","Zagórska",0
1283,"1",17,3,2_3,"","Katowice","Katowicka",0
4384,"1t",10,2,2_3,"","Czeladź","Grodziecka",0
1666,"2",8,3,2_3,"","Chorzów","Bożogrobców",0
5073,"2",17,3,2_3,"","Katowice","Lotnisko",0
2568,"1",38,3,2,"","Ruda Śląska","Wolności",0
10038,"2",6,3,2_3,"","Będzin","Józefa Cieszkowskiego",0
3826,"1",51,3,2,"","Zbrosławice","Mikulczycka",0
7931,"1",36,3,1,"","Pyskowice","Wyzwolenia",0
4996,"2",26,3,2_3,"","Mysłowice","Leśna",0
6551,"1",24,3,2,"","Mikołów","Storczyków",0
528,"1",17,3,2,"","Katowice","Milowicka",0
2307,"2",24,3,2_3_4,"","Mikołów","Plac Synagogi",0
5898,"2",57,3,2_3,"","Toszek","Wiejska",0
5595,"1",38,3,2_3,"","Ruda Śląska","Kłodnicka",0
390,"1",41,3,2_3,"","Siemianowice Śląskie","aleja Młodych",0
8464,"2",49,3,2_3,"","Zabrze","Handlowa",0
4103,"2",16,3,2,"","Jaworzno","Jagiellońska",0
9042,"2",5,3,2,"","Bytom","Pułaskiego",0
3158,"2",12,3,2_3,"","Dąbrowa Górnicza","aleja Piłsudskiego",0
5109,"2",38,3,1,"","Ruda Śląska","Droga do Lipin",0
5294,"2",26,3,1_3,"","Mysłowice","Generała Jerzego Ziętka",0
3376,"3",12,3,2_3,"","Dąbrowa Górnicza","Kusocińskiego",0
5335,"2",26,3,1,"","Mysłowice","Henryka Sienkiewicza",0
159,"2",46,3_3,2_3,"","Chorzów","Begonii",0
4390,"2t",6,2,2_3,"","Będzin","Małobądzka",0
9739,"01",17,3,2,"","Katowice","Skłodowskiej-Curie",0
5296,"1",26,3,2,"","Mysłowice","Kosztowska",0
981,"2",,,6,"","<Żadna>","",0
9813,"1",55,3,2,"","Łazy","Szkolna",0
6604,"2",29,3,2_3,"","Orzesze","Wojska Polskiego",0
2671,"2",26,3,2_3,"","Mysłowice","Wielka Skotnica",0
4552,"1t",17,2,2,"","Katowice","Tadeusza Kościuszki",0
3762,"1",14,3,2_3,"","Gliwice","Perseusza",0
738,"1",17,3,2_3,"","Katowice","Karolinki",0
6514,"1",54,3,2,"","Łaziska Górne","Cieszyńska",0
9704,"2t",8,2,2_3,"","Chorzów","Katowicka",0
1323,"3",6,3,2,"","Będzin","Tadeusza Kościuszki",0
1570,"1",32,3,2,"","Leboszowice","Smolnicka",0
5473,"3",43,3,2_3,"","Sosnowiec","Watta",0
30,"2",14,3,2_3,"","Gliwice","Toszecka",0
1940,"1",8,3,2_3,"","Chorzów","Gałeczki",0
3301,"1",38,,2,"","<Żadna>","",0
3935,"1",11,3,2_3_4,"","Czerwionka-Leszczyny","3 Maja",0
2844,"1",12,3,2,"","Dąbrowa Górnicza","Kazdębie",0
6928,"1t/tech",8,2,5,"","Chorzów","Wolności",0
1703,"2",5,3,2_3,"","Bytom","Frenzla",0
326,"1",26,3,2_3,"","Mysłowice","Brzeźińska",0
2208,"1",12,3,2_3,"","Dąbrowa Górnicza","Kościuszki",0
3923,"1",23,3,2,"","Mierzęcice","Kolejowa",0
10026,"1",6,3,1,"","Będzin","Stanisława Kempy",0
3705,"2",18,3,2_3,"","Knurów","Dworcowa",0
3773,"1",14,3,2_3,"","Gliwice","Bardowskiego",0
2375,"2",14,3,2_3,"","Gliwice","Tarnogórska",0
16,"2",43,3,1_3,"","Sosnowiec","Sokolska",0
341,"1",14,3,2_3,"","Gliwice","Kozielska",0
2872,"1",12,3,2_3,"","Dąbrowa Górnicza","Oddziału AK Ordona",0
